     T,      X,      Y
  4.01,  -0.24,  -0.48 
  4.03,  -0.24,   0.00 
  4.05,  -0.24,   0.24 
  4.07,   0.00,   0.00 
  4.09,  -0.48,   0.00 
  4.12,  -0.49,   0.00 
  4.14,  -0.24,   0.00 
  4.16,   0.00,   0.00 
  4.18,  -0.24,   0.00 
  4.20,  -0.24,   0.00 
  4.22,  -0.24,   0.00 
  4.24,  -0.24,  -0.24 
  4.27,  -0.24,   0.00 
  4.29,  -0.24,   0.00 
  4.31,  -0.24,   0.00 
  4.33,  -0.24,   0.00 
  4.36,  -0.24,   0.00 
  4.38,  -0.24,   0.00 
  4.40,  -0.24,  -0.24 
  4.42,  -0.24,   0.00 
  4.44,  -0.49,   0.00 
  4.46,  -0.49,   0.00 
  4.48,  -0.49,   0.00 
  4.51,   0.00,   0.00 
  4.53,  -0.25,   0.00 
  4.55,  -0.24,   0.00 
  4.57,  -0.24,   0.00 
  4.59,  -0.24,   0.00 
  4.61,  -0.49,   0.00 
  4.63,  -0.24,   0.00 
  4.66,  -0.24,  -0.24 
  4.68,  -0.24,   0.24 
  4.70,  -0.24,   0.00 
  4.72,  -0.24,  -0.24 
  4.74,  -0.24,   0.00 
  4.76,  -0.49,   0.24 
  4.78,   0.00,   0.00 
  4.80,  -0.24,   0.00 
  4.82,  -0.24,   0.00 
  4.85,  -0.49,   0.00 
  4.87,   0.00,   0.00 
  4.89,   0.00,   0.00 
  4.91,  -0.49,   0.00 
  4.93,  -0.49,   0.00 
  4.95,  -0.49,   0.00 
  4.97,  -0.49,   0.00 
  4.99,   0.00,   0.00 
  5.01,  -0.48,   0.00 
  5.04,  -0.48,  -0.24 
  5.06,   0.00,  -0.49 
  5.08,  -0.73,   0.24 
  5.10,  -0.73,   0.24 
  5.12,  -0.24,   0.00 
  5.14,  -0.73,   0.00 
  5.16,  -0.24,  -0.24 
  5.18,  -0.24,   0.00 
  5.21,  -0.49,   0.00 
  5.23,  -0.24,   0.00 
  5.25,  -0.49,  -0.24 
  5.27,   0.00,   0.00 
  5.29,  -0.24,   0.00 
  5.31,  -0.24,   0.00 
  5.33,  -0.49,   0.00 
  5.35,  -0.24,   0.00 
  5.37,  -0.48,   0.00 
  5.39,  -0.24,   0.00 
  5.42,  -0.24,   0.00 
  5.44,  -0.49,   0.00 
  5.46,  -0.24,   0.00 
  5.48,  -0.24,   0.00 
  5.50,  -0.49,   0.00 
  5.52,  -0.48,   0.00 
  5.54,   0.00,   0.24 
  5.56,  -0.24,  -0.24 
  5.59,  -0.25,  -0.25 
  5.61,  -0.24,   0.00 
  5.63,  -0.24,   0.00 
  5.65,  -0.48,   0.00 
  5.67,  -0.24,  -0.24 
  5.69,  -0.48,   0.00 
  5.71,   0.00,  -0.24 
  5.74,   0.00,   0.00 
  5.76,  -0.48,   0.24 
  5.78,  -0.49,   0.00 
  5.80,  -0.24,  -0.24 
  5.82,  -0.24,   0.00 
  5.84,  -0.24,  -0.24 
  5.86,  -0.49,   0.00 
  5.88,  -0.24,   0.00 
  5.90,  -0.24,   0.00 
  5.93,  -0.48,   0.00 
  5.95,  -0.49,   0.24 
  5.97,  -0.49,   0.00 
  5.99,  -0.24,   0.00 
  6.01,  -0.49,  -0.24 
  6.03,  -0.49,   0.00 
  6.05,  -0.24,   0.00 
  6.07,  -0.24,   0.00 
  6.09,  -0.24,   0.00 
  6.12,  -0.49,   0.00 
  6.14,  -0.24,  -0.24 
  6.16,   0.00,  -0.24 
  6.18,  -0.49,  -0.24 
  6.20,  -0.24,   0.24 
  6.22,  -0.24,   0.00 
  6.24,  -0.49,   0.00 
  6.26,  -0.24,   0.00 
  6.28,  -0.24,  -0.24 
  6.31,  -0.24,   0.00 
  6.33,  -0.24,   0.00 
  6.35,  -0.24,   0.00 
  6.37,  -0.24,  -0.24 
  6.39,  -0.24,   0.00 
  6.41,  -0.24,   0.00 
  6.43,  -0.24,  -0.24 
  6.45,  -0.24,   0.00 
  6.47,   0.00,   0.24 
  6.50,  -0.24,   0.00 
  6.52,  -0.24,  -0.24 
  6.54,  -0.24,  -0.24 
  6.56,   0.00,   0.00 
  6.58,  -0.24,  -0.24 
  6.60,   0.00,  -0.24 
  6.62,  -0.24,   0.00 
  6.64,   0.00,   0.00 
  6.66,  -0.48,  -0.24 
  6.69,  -0.24,   0.00 
  6.71,  -0.49,  -0.24 
  6.73,  -0.24,   0.00 
  6.75,  -0.49,   0.00 
  6.77,  -0.24,   0.00 
  6.79,  -0.24,   0.00 
  6.81,  -0.49,   0.00 
  6.83,  -0.24,   0.00 
  6.86,  -0.24,  -0.24 
  6.88,  -0.49,   0.00 
  6.90,   0.00,  -0.24 
  6.92,   0.00,  -0.24 
  6.94,  -0.49,   0.00 
  6.96,  -0.24,   0.00 
  6.98,  -0.24,   0.00 
  7.00,   0.00,  -0.24 
  7.02,  -0.48,  -0.24 
  7.04,  -0.49,   0.24 
  7.07,  -0.24,   0.00 
  7.09,  -0.24,  -0.24 
  7.11,  -0.49,   0.00 
  7.13,  -0.24,  -0.24 
  7.15,  -0.49,   0.00 
  7.17,  -0.25,   0.25 
  7.19,   0.00,   0.00 
  7.21,  -0.24,  -0.24 
  7.23,  -0.49,   0.00 
  7.26,  -0.49,  -0.24 
  7.28,  -0.49,   0.00 
  7.30,  -0.24,   0.00 
  7.32,  -0.24,   0.00 
  7.34,  -0.24,   0.24 
  7.36,  -0.24,  -0.24 
  7.38,  -0.24,   0.00 
  7.40,  -0.48,   0.00 
  7.43,   0.00,   0.00 
  7.45,  -0.24,   0.24 
  7.47,  -0.49,   0.00 
  7.49,  -0.24,   0.00 
  7.51,  -0.49,   0.00 
  7.53,  -0.25,   0.00 
  7.55,  -0.24,  -0.24 
  7.57,  -0.24,  -0.24 
  7.59,  -0.24,   0.00 
  7.62,  -0.24,   0.00 
  7.64,  -0.24,   0.00 
  7.66,  -0.24,   0.00 
  7.68,   0.00,   0.00 
